label,lat,long
0,13.1866904,123.6591581
1,13.18676963,123.6573
2,13.18533555,123.6522
3,13.18617687,123.6503
4,13.1860181,123.6459
5,13.18006194,123.6556
6,13.17880965,123.6556
7,13.18161537,123.6561
8,13.1888218,123.6644
9,13.18767269,123.6731
10,13.17699561,123.668
11,13.1946683,123.6451
12,13.1990854,123.6717
13,13.1987231,123.6374
14,13.20025038,123.6552
15,13.18206941,123.661
16,13.17622371,123.6498
17,13.17930548,123.6325
18,13.17179403,123.661
19,13.16666488,123.6536
20,13.15759358,123.662
21,13.1557856,123.6523
22,13.14877073,123.6649
23,13.14246553,123.6578
24,13.15199952,123.6424
25,13.13267441,123.6481
26,13.1356055,123.6688
27,13.13111708,123.6596
28,13.11500606,123.6602
29,13.11859982,123.6463
30,13.09831781,123.6523
31,13.09580123,123.6644
32,13.07517471,123.6608
33,13.06468681,123.6699
34,13.09396687,123.6334
35,13.07816417,123.6426
36,13.16683524,123.6396
37,13.16600472,123.623
38,13.15008081,123.618
39,13.13334241,123.6104
40,13.12310983,123.5987
41,13.14540131,123.629
42,13.10785354,123.5828
43,13.11880835,123.6214
44,13.10958705,123.5987
45,13.11839071,123.6353
46,13.10266989,123.6062
47,13.09422393,123.5959
48,13.09670044,123.616
49,13.07668081,123.6303
50,13.09398764,123.5717264
51,13.153,123.6576
52,13.2,123.6552
53,13.097,123.6142
54,13.186,123.6635
55,13.199,123.6363
56,13.181,123.6693
57,13.162,123.6385
58,13.173,123.6609
59,13.18369,123.6568
60,13.18092,123.6554
61,13.17771,123.6517
62,13.17774,123.647
63,13.09018,123.5923
64,13.10178,123.5938
65,13.12905,123.6595
66,13.14855,123.644
67,13.1626,123.6385
68,13.13371,123.6588
69,13.13346,123.6589
70,13.10111,123.6667
71,13.12348,123.6611
72,13.12761,123.6594
73,13.11945,123.6575
74,13.12051,123.6564
75,13.16259,123.6256
76,13.15757,123.6297
77,13.15571,123.6297
78,13.1559,123.6277
79,13.16448,123.6259
80,13.15631,123.6299
81,13.15992,123.6304
82,13.15646,123.6281
83,13.15861,123.6304
84,13.15379,123.6114
85,13.16017,123.631
86,13.15905,123.6299
87,13.15923,123.6304
88,13.15794,123.6291
89,13.15611,123.6289
90,13.15731,123.6303
91,13.15913,123.6301
92,13.15702,123.6285
93,13.15848,123.6301
94,13.15839,123.6303
95,13.15663,123.6292
96,13.15538,123.6274
97,13.1586,123.6287
98,13.15967,123.63
99,13.15943,123.631
100,13.15462,123.6176
101,13.15688,123.6271
102,13.15645,123.6271
103,13.16008,123.6306
104,13.15911,123.6309
105,13.15916,123.6306
106,13.16251,123.6362
107,13.15612,123.6279
108,13.15947,123.6308
109,13.15902,123.6319
110,13.153,123.6167
111,13.16159,123.6328
112,13.15973,123.6317
113,13.159,123.6328
114,13.15553,123.6296
115,13.15748,123.6288
116,13.1618,123.6337
117,13.15693,123.6267
118,13.15676,123.6283
119,13.15903,123.6311
120,13.15935,123.6312
121,13.15824,123.6307
122,13.16379,123.6256
123,13.15905,123.6245
124,13.15923,123.6323
125,13.16055,123.6322
126,13.16072,123.632
127,13.17283,123.6457
128,13.17488,123.6509
129,13.17255,123.6451
130,13.17256,123.646
131,13.16771,123.6495
132,13.16089,123.6332
133,13.16008,123.6332
134,13.17217,123.6445
135,13.17614,123.6512
136,13.17307,123.6453
137,13.17679,123.6507
138,13.17344,123.6505
139,13.09804,123.6662
140,13.09325,123.6405
141,13.09941,123.6459
142,13.10213,123.6535
143,13.08832,123.6373
144,13.0644,123.67
145,13.07518,123.6607
146,13.14549,123.61
147,13.17403,123.6518
148,13.14336,123.611
149,13.14224,123.6135
150,13.1136,123.5989
151,13.14024,123.6013
152,13.11877,123.6213
153,13.14018,123.6011
154,13.14328,123.6108
155,13.13703,123.6137
156,13.17238,123.6546
157,13.12367,123.6245
158,13.14234,123.6129
159,13.14223,123.6132
160,13.1839,123.6702
161,13.18456,123.6562
162,13.18405,123.6541
163,13.18301,123.6695
164,13.18445,123.6566
165,13.18482,123.6688
166,13.18285,123.6672
167,13.18505,123.6564
168,13.19215,123.654
169,13.1849,123.6568
170,13.19185,123.6546
171,13.18544,123.6571
172,13.18337,123.6698
173,13.18292,123.6558
